"Name","WHO_Region","Cases_cumulative_total","Cases_cumulative_total_per_100000_population","Cases_newly_reported_in_last_7_days","Cases_newly_reported_in_last_7_days_per_100000_population","Cases_newly_reported_in_last_24_hours","Deaths_cumulative_total","Deaths_cumulative_total_per_100000_population","Deaths_newly_reported_in_last_7_days","Deaths_newly_reported_in_last_7_days_per_100000_population","Deaths_newly_reported_in_last_24_hours"
"Brunei Darussalam","Western Pacific",248861,56885245,0,0,0,137,31316,0,0,0
"Uzbekistan","Europe",245246,732751,328,"0.98",69,1637,4891,0,0,0
"Mozambique","Africa",230543,737609,0,0,0,2224,7116,0,0,0
"Martinique","Americas",223877,59658375,0,0,0,1057,281668,0,0,0
"Lao People's Democratic Republic","Western Pacific",216431,2974768,108,1484,34,757,10405,0,0,0
"Iceland","Europe",207003,56848028,127,34877,0,219,60143,0,0,0
"Kyrgyzstan","Europe",206483,3164883,19,291,0,2991,45845,0,0,0
"Afghanistan","Eastern Mediterranean",204610,525607,268,688,0,7829,20111,0,0,0
"El Salvador","Americas",201785,3110987,0,0,0,4230,65215,0,0,0
"Guadeloupe","Americas",197105,49260979,0,0,0,993,248173,0,0,0
"Maldives","South-East Asia",185549,34326345,95,17575,0,310,"57.35",1,185,0
"Trinidad and Tobago","Americas",185094,13225837,145,10361,0,4263,304611,6,429,0
"Ghana","Africa",170972,550228,0,0,0,1461,4702,0,0,0
"Namibia","Africa",169929,6687735,0,0,0,4080,160573,0,0,0
"Uganda","Africa",169568,370713,82,179,0,3630,7936,0,0,0
"Jamaica","Americas",152381,5145978,0,0,0,3351,113165,0,0,0
"Cambodia","Western Pacific",138010,"825.47",14,84,3,3056,18279,0,0,0
"Rwanda","Africa",132611,1023848,0,0,0,1467,11326,0,0,0
"Cameroon","Africa",123993,"467.09",0,0,0,1965,7402,0,0,0
"Malta","Europe",115673,22479808,110,21377,13,808,157026,0,0,0
"Barbados","Americas",103545,36031318,121,42105,0,564,196259,4,1392,0
"Angola","Africa",103131,"313.79",0,0,0,1917,5833,0,0,0
"French Guiana","Americas",94421,31612551,112,37498,0,411,137605,0,0,0
"Democratic Republic of the Congo","Africa",93466,"104.36",0,0,0,1447,1616,0,0,0
"Senegal","Africa",88842,530592,10,"0.06",0,1968,11754,0,0,0
"Malawi","Africa",88029,460163,11,58,0,2896,15139,211,1103,0
"Côte d’Ivoire","Africa",87864,333092,17,64,0,829,3143,0,0,0
"Suriname","Americas",81228,"13846.5",0,0,0,1392,237287,0,0,0
"French Polynesia","Western Pacific",76827,27349524,0,0,0,649,231036,0,0,0
"New Caledonia","Western Pacific",74818,26206138,0,0,0,314,109983,0,0,0
"Eswatini","Africa",73708,"6353.24",90,7758,0,1422,122569,0,0,0
"Guyana","Americas",71499,9090181,38,4831,0,1281,162863,0,0,0
"Belize","Americas",68988,17349885,16,4024,0,687,172775,0,0,0
"Fiji","Western Pacific",68307,7619765,20,2231,0,878,97942,0,0,0
"Madagascar","Africa",66859,241447,71,256,0,1411,5096,0,0,0
"Sudan","Eastern Mediterranean",63595,145031,13,"0.03",0,4981,11359,0,0,0
"Mauritania","Africa",63414,1363842,6,129,0,997,21442,0,0,0
"Cabo Verde","Africa",62686,11274724,29,5216,0,410,73743,0,0,0
"Jersey","Europe",62589,58062451,232,215221,7,142,"131.73",1,928,1
"Bhutan","South-East Asia",62460,8094784,30,3888,0,21,2722,0,0,0
"Syrian Arab Republic","Eastern Mediterranean",57382,327885,5,29,0,3163,18074,0,0,0
